resultId,raceId,driverId,constructorId,number,grid,position,positionText,positionOrder,points,laps,time,milliseconds,fastestLap,rank,fastestLapTime,fastestLapSpeed,statusId,positionDiff,status,year,circuitId,race_name,race_date,circuit_name,location,country,lat,lng,geometry,dob,driver_nat,driver_name,constr_name,constr_nat
16085,17,1,1,1,1,\N,R,19,0.0,20,\N,\N,16,3,1:40.367,199.212,23,18,Brakes,2009,24,Abu Dhabi Grand Prix,2009-11-01,Yas Marina Circuit,Abu Dhabi,UAE,24.4672,54.6031,POINT (54.6031 24.4672),1985-01-07,British,Lewis Hamilton,McLaren,British
20325,337,1,1,2,4,3,3,3,15.0,49,+23.182,5983578,42,4,1:59.560,189.665,1,-1,Finished,2010,3,Bahrain Grand Prix,2010-03-14,Bahrain International Circuit,Sakhir,Bahrain,26.0325,50.5106,POINT (50.5106 26.0325),1985-01-07,British,Lewis Hamilton,McLaren,British
20376,339,1,1,2,20,6,6,6,8.0,56,+23.471,5651883,32,4,1:37.745,204.151,1,-14,Finished,2010,2,Malaysian Grand Prix,2010-04-04,Sepang International Circuit,Kuala Lumpur,Malaysia,2.76083,101.738,POINT (101.738 2.76083),1985-01-07,British,Lewis Hamilton,McLaren,British
20396,340,1,1,2,6,2,2,2,18.0,56,+1.530,6403693,13,1,1:42.061,192.273,1,-4,Finished,2010,17,Chinese Grand Prix,2010-04-18,Shanghai International Circuit,Shanghai,China,31.3389,121.22,POINT (121.22 31.3389),1985-01-07,British,Lewis Hamilton,McLaren,British
20432,341,1,1,2,3,14,14,14,0.0,64,\N,\N,59,1,1:24.357,198.655,29,11,Puncture,2010,4,Spanish Grand Prix,2010-05-09,Circuit de Barcelona-Catalunya,Montmeló,Spain,41.57,2.26111,POINT (2.26111 41.57),1985-01-07,British,Lewis Hamilton,McLaren,British
20447,342,1,1,2,5,5,5,5,10.0,78,+4.363,6617718,68,10,1:16.219,157.755,1,0,Finished,2010,6,Monaco Grand Prix,2010-05-16,Circuit de Monaco,Monte-Carlo,Monaco,43.7347,7.42056,POINT (7.42056 43.7347),1985-01-07,British,Lewis Hamilton,McLaren,British
20540,346,1,1,2,4,2,2,2,18.0,52,+1.360,5079560,43,6,1:32.758,228.633,1,-2,Finished,2010,9,British Grand Prix,2010-07-11,Silverstone Circuit,Silverstone,UK,52.0786,-1.01694,POINT (-1.01694 52.0786),1985-01-07,British,Lewis Hamilton,McLaren,British
20566,347,1,1,2,6,4,4,4,12.0,67,+26.896,5285760,65,5,1:16.503,215.238,1,-2,Finished,2010,10,German Grand Prix,2010-07-25,Hockenheimring,Hockenheim,Germany,49.3278,8.56583,POINT (8.56583 49.3278),1985-01-07,British,Lewis Hamilton,McLaren,British
20606,348,1,1,2,5,\N,R,20,0.0,23,\N,\N,22,14,1:26.258,182.842,6,15,Gearbox,2010,11,Hungarian Grand Prix,2010-08-01,Hungaroring,Budapest,Hungary,47.5789,19.2486,POINT (19.2486 47.5789),1985-01-07,British,Lewis Hamilton,McLaren,British
20611,349,1,1,2,2,1,1,1,25.0,44,1:29:04.268,5344268,32,1,1:49.069,231.178,1,-1,Finished,2010,13,Belgian Grand Prix,2010-08-29,Circuit de Spa-Francorchamps,Spa,Belgium,50.4372,5.97139,POINT (5.97139 50.4372),1985-01-07,British,Lewis Hamilton,McLaren,British
20677,351,1,1,2,3,\N,R,19,0.0,35,\N,\N,31,10,1:50.750,164.901,4,16,Collision,2010,15,Singapore Grand Prix,2010-09-26,Marina Bay Street Circuit,Marina Bay,Singapore,1.2914,103.864,POINT (103.864 1.2914),1985-01-07,British,Lewis Hamilton,McLaren,British
20756,355,1,1,2,2,2,2,2,18.0,55,+10.162,5986999,47,1,1:41.274,197.428,1,0,Finished,2010,24,Abu Dhabi Grand Prix,2010-11-14,Yas Marina Circuit,Abu Dhabi,UAE,24.4672,54.6031,POINT (54.6031 24.4672),1985-01-07,British,Lewis Hamilton,McLaren,British
20808,842,1,1,3,2,8,8,8,4.0,56,+1:09.957,5929789,54,5,1:41.512,196.575,1,6,Finished,2011,2,Malaysian Grand Prix,2011-04-10,Sepang International Circuit,Kuala Lumpur,Malaysia,2.76083,101.738,POINT (101.738 2.76083),1985-01-07,British,Lewis Hamilton,McLaren,British
20825,843,1,1,3,3,1,1,1,25.0,56,1:36:58.226,5818226,48,2,1:40.415,195.424,1,-2,Finished,2011,17,Chinese Grand Prix,2011-04-17,Shanghai International Circuit,Shanghai,China,31.3389,121.22,POINT (121.22 31.3389),1985-01-07,British,Lewis Hamilton,McLaren,British
20874,845,1,1,3,3,2,2,2,18.0,66,+0.630,5943931,52,1,1:26.727,193.227,1,-1,Finished,2011,4,Spanish Grand Prix,2011-05-22,Circuit de Barcelona-Catalunya,Montmeló,Spain,41.57,2.26111,POINT (2.26111 41.57),1985-01-07,British,Lewis Hamilton,McLaren,British
20902,846,1,1,3,9,6,6,6,8.0,78,+27.210,7805583,54,5,1:17.847,154.456,1,-3,Finished,2011,6,Monaco Grand Prix,2011-05-29,Circuit de Monaco,Monte-Carlo,Monaco,43.7347,7.42056,POINT (7.42056 43.7347),1985-01-07,British,Lewis Hamilton,McLaren,British
20971,849,1,1,3,10,4,4,4,12.0,52,+28.986,5350182,39,5,1:36.180,220.499,1,-6,Finished,2011,9,British Grand Prix,2011-07-10,Silverstone Circuit,Silverstone,UK,52.0786,-1.01694,POINT (-1.01694 52.0786),1985-01-07,British,Lewis Hamilton,McLaren,British
20992,850,1,1,3,2,1,1,1,25.0,60,1:37:30.344,5850334,59,1,1:34.302,196.526,1,-1,Finished,2011,20,German Grand Prix,2011-07-24,Nürburgring,Nürburg,Germany,50.3356,6.9475,POINT (6.9475 50.3356),1985-01-07,British,Lewis Hamilton,McLaren,British
21019,851,1,1,3,2,4,4,4,12.0,70,+48.338,6450675,61,2,1:23.661,188.517,1,2,Finished,2011,11,Hungarian Grand Prix,2011-07-31,Hungaroring,Budapest,Hungary,47.5789,19.2486,POINT (19.2486 47.5789),1985-01-07,British,Lewis Hamilton,McLaren,British
21061,852,1,1,3,2,\N,R,22,0.0,12,\N,\N,8,18,1:55.647,218.029,4,20,Collision,2011,13,Belgian Grand Prix,2011-08-28,Circuit de Spa-Francorchamps,Spa,Belgium,50.4372,5.97139,POINT (5.97139 50.4372),1985-01-07,British,Lewis Hamilton,McLaren,British
21092,854,1,1,3,4,5,5,5,10.0,61,+1:07.766,7214523,54,4,1:50.832,164.779,1,1,Finished,2011,15,Singapore Grand Prix,2011-09-25,Marina Bay Street Circuit,Marina Bay,Singapore,1.2914,103.864,POINT (103.864 1.2914),1985-01-07,British,Lewis Hamilton,McLaren,British
21184,858,1,1,3,2,1,1,1,25.0,55,1:37:11.886,5831886,51,3,1:43.461,193.255,1,-1,Finished,2011,24,Abu Dhabi Grand Prix,2011-11-13,Yas Marina Circuit,Abu Dhabi,UAE,24.4672,54.6031,POINT (54.6031 24.4672),1985-01-07,British,Lewis Hamilton,McLaren,British
21258,861,1,1,4,1,3,3,3,15.0,56,+14.591,9906403,50,6,1:41.539,196.523,1,2,Finished,2012,2,Malaysian Grand Prix,2012-03-25,Sepang International Circuit,Kuala Lumpur,Malaysia,2.76083,101.738,POINT (101.738 2.76083),1985-01-07,British,Lewis Hamilton,McLaren,British
21282,862,1,1,4,7,3,3,3,15.0,56,+26.012,5812941,40,6,1:40.530,195.201,1,-4,Finished,2012,17,Chinese Grand Prix,2012-04-15,Shanghai International Circuit,Shanghai,China,31.3389,121.22,POINT (121.22 31.3389),1985-01-07,British,Lewis Hamilton,McLaren,British
21311,863,1,1,4,2,8,8,8,4.0,57,+58.984,5769974,38,7,1:37.733,199.351,1,6,Finished,2012,3,Bahrain Grand Prix,2012-04-22,Bahrain International Circuit,Sakhir,Bahrain,26.0325,50.5106,POINT (50.5106 26.0325),1985-01-07,British,Lewis Hamilton,McLaren,British
21335,864,1,1,4,24,8,8,8,4.0,66,+1:18.140,6027285,50,18,1:28.918,188.465,1,-16,Finished,2012,4,Spanish Grand Prix,2012-05-13,Circuit de Barcelona-Catalunya,Montmeló,Spain,41.57,2.26111,POINT (2.26111 41.57),1985-01-07,British,Lewis Hamilton,McLaren,British
21356,865,1,1,4,3,5,5,5,10.0,78,+4.101,6370658,46,4,1:18.806,152.577,1,2,Finished,2012,6,Monaco Grand Prix,2012-05-27,Circuit de Monaco,Monte-Carlo,Monaco,43.7347,7.42056,POINT (7.42056 43.7347),1985-01-07,British,Lewis Hamilton,McLaren,British
21431,868,1,1,4,8,8,8,8,4.0,52,+36.463,5147751,44,15,1:36.173,220.515,1,0,Finished,2012,9,British Grand Prix,2012-07-08,Silverstone Circuit,Silverstone,UK,52.0786,-1.01694,POINT (-1.01694 52.0786),1985-01-07,British,Lewis Hamilton,McLaren,British
21471,869,1,1,4,7,\N,R,24,0.0,56,\N,\N,34,19,1:20.091,205.596,29,17,Puncture,2012,10,German Grand Prix,2012-07-22,Hockenheimring,Hockenheim,Germany,49.3278,8.56583,POINT (8.56583 49.3278),1985-01-07,British,Lewis Hamilton,McLaren,British
21472,870,1,1,4,1,1,1,1,25.0,69,1:41:05.503,6065503,65,4,1:25.677,184.082,1,0,Finished,2012,11,Hungarian Grand Prix,2012-07-29,Hungaroring,Budapest,Hungary,47.5789,19.2486,POINT (19.2486 47.5789),1985-01-07,British,Lewis Hamilton,McLaren,British
21518,871,1,1,4,7,\N,R,23,0.0,0,\N,\N,\N,0,\N,\N,4,16,Collision,2012,13,Belgian Grand Prix,2012-09-02,Circuit de Spa-Francorchamps,Spa,Belgium,50.4372,5.97139,POINT (5.97139 50.4372),1985-01-07,British,Lewis Hamilton,McLaren,British
21567,873,1,1,4,1,\N,R,24,0.0,22,\N,\N,14,19,1:55.541,158.063,6,23,Gearbox,2012,15,Singapore Grand Prix,2012-09-23,Marina Bay Street Circuit,Marina Bay,Singapore,1.2914,103.864,POINT (103.864 1.2914),1985-01-07,British,Lewis Hamilton,McLaren,British
21660,877,1,1,4,1,\N,R,21,0.0,19,\N,\N,19,16,1:47.266,186.400,10,20,Electrical,2012,24,Abu Dhabi Grand Prix,2012-11-04,Yas Marina Circuit,Abu Dhabi,UAE,24.4672,54.6031,POINT (54.6031 24.4672),1985-01-07,British,Lewis Hamilton,McLaren,British
21664,878,1,1,4,2,1,1,1,25.0,56,1:35:55.269,5755269,55,5,1:39.709,199.047,1,-1,Finished,2012,69,United States Grand Prix,2012-11-18,Circuit of the Americas,Austin,USA,30.1328,-97.6411,POINT (-97.6411 30.1328),1985-01-07,British,Lewis Hamilton,McLaren,British
391,37,4,1,1,2,1,1,1,10.0,56,1:32:14.930,5534930,42,2,1:36.861,206.014,1,-1,Finished,2007,2,Malaysian Grand Prix,2007-04-08,Sepang International Circuit,Kuala Lumpur,Malaysia,2.76083,101.738,POINT (101.738 2.76083),1981-07-29,Spanish,Fernando Alonso,McLaren,British
417,38,4,1,1,4,5,5,5,4.0,57,+14.426,5621941,46,4,1:34.420,206.346,1,1,Finished,2007,3,Bahrain Grand Prix,2007-04-15,Bahrain International Circuit,Sakhir,Bahrain,26.0325,50.5106,POINT (50.5106 26.0325),1981-07-29,Spanish,Fernando Alonso,McLaren,British
437,39,4,1,1,2,3,3,3,6.0,65,+17.456,5513686,17,3,1:22.966,201.986,1,1,Finished,2007,4,Spanish Grand Prix,2007-05-13,Circuit de Barcelona-Catalunya,Montmeló,Spain,41.57,2.26111,POINT (2.26111 41.57),1981-07-29,Spanish,Fernando Alonso,McLaren,British
457,40,4,1,1,1,1,1,1,10.0,78,1:40:29.329,6029329,44,1,1:15.284,159.715,1,0,Finished,2007,6,Monaco Grand Prix,2007-05-27,Circuit de Monaco,Monte-Carlo,Monaco,43.7347,7.42056,POINT (7.42056 43.7347),1981-07-29,Spanish,Fernando Alonso,McLaren,British
529,43,4,1,1,10,7,7,7,2.0,70,+56.516,5510716,36,3,1:16.495,207.590,1,-3,Finished,2007,8,French Grand Prix,2007-07-01,Circuit de Nevers Magny-Cours,Magny Cours,France,46.8642,3.16361,POINT (3.16361 46.8642),1981-07-29,Spanish,Fernando Alonso,McLaren,British
546,44,4,1,1,3,2,2,2,8.0,59,+2.459,4905533,35,3,1:21.117,228.159,1,-1,Finished,2007,9,British Grand Prix,2007-07-08,Silverstone Circuit,Silverstone,UK,52.0786,-1.01694,POINT (-1.01694 52.0786),1981-07-29,Spanish,Fernando Alonso,McLaren,British
567,45,4,1,1,2,1,1,1,10.0,60,2:06:26.358,7586358,35,2,1:33.231,198.783,1,-1,Finished,2007,20,European Grand Prix,2007-07-22,Nürburgring,Nürburg,Germany,50.3356,6.9475,POINT (6.9475 50.3356),1981-07-29,Spanish,Fernando Alonso,McLaren,British
592,46,4,1,1,6,4,4,4,5.0,70,+44.858,5797849,49,3,1:20.324,196.349,1,-2,Finished,2007,11,Hungarian Grand Prix,2007-08-05,Hungaroring,Budapest,Hungary,47.5789,19.2486,POINT (19.2486 47.5789),1981-07-29,Spanish,Fernando Alonso,McLaren,British
657,49,4,1,1,3,3,3,3,6.0,44,+14.343,4853409,44,3,1:48.182,233.073,1,0,Finished,2007,13,Belgian Grand Prix,2007-09-16,Circuit de Spa-Francorchamps,Spa,Belgium,50.4372,5.97139,POINT (5.97139 50.4372),1981-07-29,Spanish,Fernando Alonso,McLaren,British
700,51,4,1,1,4,2,2,2,8.0,56,+9.806,5888201,54,2,1:37.991,200.259,1,-2,Finished,2007,17,Chinese Grand Prix,2007-10-07,Shanghai International Circuit,Shanghai,China,31.3389,121.22,POINT (121.22 31.3389),1981-07-29,Spanish,Fernando Alonso,McLaren,British
22573,927,4,1,14,18,\N,R,18,0.0,21,\N,\N,17,17,1:48.460,183.983,132,0,ERS,2015,2,Malaysian Grand Prix,2015-03-29,Sepang International Circuit,Kuala Lumpur,Malaysia,2.76083,101.738,POINT (101.738 2.76083),1981-07-29,Spanish,Fernando Alonso,McLaren,British
22587,928,4,1,14,18,12,12,12,0.0,55,\N,\N,40,13,1:43.728,189.183,11,-6,+1 Lap,2015,17,Chinese Grand Prix,2015-04-12,Shanghai International Circuit,Shanghai,China,31.3389,121.22,POINT (121.22 31.3389),1981-07-29,Spanish,Fernando Alonso,McLaren,British
22606,929,4,1,14,14,11,11,11,0.0,56,\N,\N,38,13,1:38.992,196.815,11,-3,+1 Lap,2015,3,Bahrain Grand Prix,2015-04-19,Bahrain International Circuit,Sakhir,Bahrain,26.0325,50.5106,POINT (50.5106 26.0325),1981-07-29,Spanish,Fernando Alonso,McLaren,British
22635,930,4,1,14,13,\N,R,20,0.0,26,\N,\N,23,18,1:33.387,179.446,23,7,Brakes,2015,4,Spanish Grand Prix,2015-05-10,Circuit de Barcelona-Catalunya,Montmeló,Spain,41.57,2.26111,POINT (2.26111 41.57),1981-07-29,Spanish,Fernando Alonso,McLaren,British
22654,931,4,1,14,13,\N,R,19,0.0,41,\N,\N,36,16,1:20.459,149.308,6,6,Gearbox,2015,6,Monaco Grand Prix,2015-05-24,Circuit de Monaco,Monte-Carlo,Monaco,43.7347,7.42056,POINT (7.42056 43.7347),1981-07-29,Spanish,Fernando Alonso,McLaren,British
22695,933,4,1,14,19,\N,R,20,0.0,0,\N,\N,\N,0,\N,\N,4,1,Collision,2015,70,Austrian Grand Prix,2015-06-21,Red Bull Ring,Spielberg,Austria,47.2197,14.7647,POINT (14.7647 47.2197),1981-07-29,Spanish,Fernando Alonso,McLaren,British
22705,934,4,1,14,17,10,10,10,1.0,51,\N,\N,30,12,1:38.883,214.471,11,-7,+1 Lap,2015,9,British Grand Prix,2015-07-05,Silverstone Circuit,Silverstone,UK,52.0786,-1.01694,POINT (-1.01694 52.0786),1981-07-29,Spanish,Fernando Alonso,McLaren,British
22720,936,4,1,14,15,5,5,5,10.0,69,+49.079,6419064,67,10,1:27.311,180.637,1,-10,Finished,2015,11,Hungarian Grand Prix,2015-07-26,Hungaroring,Budapest,Hungary,47.5789,19.2486,POINT (19.2486 47.5789),1981-07-29,Spanish,Fernando Alonso,McLaren,British
22748,937,4,1,14,20,13,13,13,0.0,42,\N,\N,34,5,1:53.692,221.778,11,-7,+1 Lap,2015,13,Belgian Grand Prix,2015-08-23,Circuit de Spa-Francorchamps,Spa,Belgium,50.4372,5.97139,POINT (5.97139 50.4372),1981-07-29,Spanish,Fernando Alonso,McLaren,British
22792,939,4,1,14,12,\N,R,17,0.0,33,\N,\N,27,16,1:53.325,160.900,6,5,Gearbox,2015,15,Singapore Grand Prix,2015-09-20,Marina Bay Street Circuit,Marina Bay,Singapore,1.2914,103.864,POINT (103.864 1.2914),1981-07-29,Spanish,Fernando Alonso,McLaren,British
22826,941,4,1,14,19,11,11,11,0.0,53,+1:31.210,5922234,29,12,1:42.639,205.115,1,-8,Finished,2015,71,Russian Grand Prix,2015-10-11,Sochi Autodrom,Sochi,Russia,43.4057,39.9578,POINT (39.9578 43.4057),1981-07-29,Spanish,Fernando Alonso,McLaren,British
22847,942,4,1,14,9,11,11,11,0.0,56,+54.816,6707519,55,11,1:44.323,190.243,1,2,Finished,2015,69,United States Grand Prix,2015-10-25,Circuit of the Americas,Austin,USA,30.1328,-97.6411,POINT (-97.6411 30.1328),1981-07-29,Spanish,Fernando Alonso,McLaren,British
22876,943,4,1,14,18,\N,R,20,0.0,1,\N,\N,\N,0,\N,\N,31,2,Retired,2015,32,Mexican Grand Prix,2015-11-01,Autódromo Hermanos Rodríguez,Mexico City,Mexico,19.4042,-99.0907,POINT (-99.0907 19.4042),1981-07-29,Spanish,Fernando Alonso,McLaren,British
22913,945,4,1,14,16,17,17,17,0.0,53,\N,\N,52,3,1:44.796,190.793,12,1,+2 Laps,2015,24,Abu Dhabi Grand Prix,2015-11-29,Yas Marina Circuit,Abu Dhabi,UAE,24.4672,54.6031,POINT (54.6031 24.4672),1981-07-29,Spanish,Fernando Alonso,McLaren,British
22972,950,4,1,14,11,12,12,12,0.0,56,+1:37.253,6031144,36,19,1:42.226,191.962,1,1,Finished,2016,17,Chinese Grand Prix,2016-04-17,Shanghai International Circuit,Shanghai,China,31.3389,121.22,POINT (121.22 31.3389),1981-07-29,Spanish,Fernando Alonso,McLaren,British
